"pergunta","resposta","tag","suporte"
"1. O que é assinatura digital e como ela se equipara à assinatura física, conforme apresentado no Assina@UFVJM?","Assinatura digital é uma modalidade de assinatura eletrônica equivalente à assinatura física, que comprova a autoria e integridade de um documento digital, sendo gerada a partir do uso do Certificado Digital ICP-Edu, o que assegura seu valor jurídico.","assinatura",1
"2. Qual a finalidade do certificado digital e como ele é utilizado no contexto do Assina@UFVJM?","O certificado digital funciona como um documento eletrônico que serve como identidade virtual, validando o usuário em diversos procedimentos digitais, como a assinatura eletrônica realizada pelo Assina@UFVJM.","assinatura",1
"3. Qual o certificado digital utilizado pelo Assina@UFVJM e quem é o responsável por emiti-lo?","O Assina@UFVJM utiliza o certificado digital ICP-Edu, que é emitido pela RNP (Rede Nacional de Ensino e Pesquisa).","assinatura",1
"4. Quem pode utilizar o serviço Assina@UFVJM e qual requisito é necessário para o cadastro?","O serviço pode ser utilizado por alunos, professores e servidores que tenham vínculo com a UFVJM e possuam uma conta institucional ativa.","assinatura",1
"5. Quais são as duas formas de assinatura oferecidas pelo sistema e o que cada uma comprova?","São oferecidas duas formas: a “assinatura”, onde o usuário concorda com o teor do documento gerando uma marca com nome, CPF, data e hora; e a “autenticação”, que, além desses dados, valida a originalidade e veracidade do documento.","assinatura",1
"6. Como a marca de identificação é gerada na assinatura digital realizada pelo Assina@UFVJM?","A marca é gerada por meio do certificado digital do usuário e contém informações como nome, CPF, data e hora da assinatura.","assinatura",1
"7. Por que o Certificado Digital ICP-Edu é fundamental para a assinatura digital no Assina@UFVJM?","Porque o ICP-Edu garante o valor jurídico da assinatura digital, autenticando a identidade do usuário e assegurando a integridade do documento.","assinatura",1
"8. Quais são os principais passos para realizar o cadastro no sistema Assina@UFVJM?","Os passos são: acessar o assinador pelo link, clicar em “Realizar Cadastro”, preencher os campos solicitados (endereço de e-mail, conta institucional e senha institucional) e clicar em “Registre-se”.","assinatura",1
"9. Quais informações o usuário deve fornecer ao preencher o formulário de cadastro?","Deve ser informado o endereço de e-mail, a conta institucional (sem o “@ufvjm.edu.br”) e a senha institucional utilizada no sistema e-Campus.","assinatura",1
"10. Como o usuário deve proceder para acessar o sistema após concluir o cadastro?","Após o cadastro, o usuário deve inserir sua conta institucional e senha na tela de login e clicar em “Entrar”.","assinatura",1
"11. Quais são as etapas para adicionar o Certificado Digital ICP-Edu no Assina@UFVJM?","Ao acessar o sistema pela primeira vez, o usuário deve clicar em “Cadastrar certificado”, depois em “Adicionar certificado”, escolher o arquivo do certificado (extensão .pfx ou .p12), inserir a senha do certificado e clicar em “Adicionar”.","assinatura",1
"12. Quais extensões de arquivo são aceitas para o certificado digital durante o cadastro?","São aceitas as extensões .pfx e .p12.","assinatura",1
"13. O que deve ser feito se o usuário ainda não possui o Certificado Digital ICP-Edu?","O usuário deve acessar o portal da ICP-Edu pelo link (https://pessoal.icpedu.rnp.br/home), fazer login utilizando seus dados institucionais e seguir os passos para a emissão do certificado.","assinatura",1
"14. Quais são os passos necessários para assinar um documento usando o Assina@UFVJM?","É preciso selecionar o arquivo em formato PDF (preferencialmente PDF/A), inserir a senha do certificado digital, selecionar o tipo de assinatura desejada (assinatura ou autenticação), escolher a posição da assinatura no documento e clicar em “Assinar digitalmente”.","assinatura",1
"15. Por que é recomendado utilizar o formato PDF/A para os documentos a serem assinados digitalmente?","Porque o PDF/A atende à legislação, garantindo a preservação e validade jurídica do documento.","assinatura",1
"16. Como o usuário confirma sua identidade ao inserir a senha do certificado digital?","Ao inserir a senha, o sistema valida o certificado digital do usuário, confirmando sua autenticidade e permitindo a assinatura do documento.","assinatura",1
"17. Quais informações compõem a marca de assinatura exibida no documento assinado?","A marca de assinatura contém o nome, CPF, data e hora da assinatura.","assinatura",1
"18. Qual é a diferença entre as opções “assinatura” e “autenticação” oferecidas pelo sistema?","Na opção “assinatura”, o usuário apenas concorda com o documento gerando sua marca de identificação; já na “autenticação”, o documento também é validado como original e verdadeiro.","assinatura",1
"19. Em que consiste o procedimento de autenticação de um documento no Assina@UFVJM?","Consiste em selecionar o arquivo PDF, inserir a senha do certificado digital, escolher a opção de autenticação, selecionar a posição da assinatura e efetivar a assinatura digital, validando o documento como original.","assinatura",1
"20. Que informação adicional é incluída na marca de autenticação em comparação à assinatura convencional?","A marca de autenticação inclui, além dos dados básicos, a validação expressa pelo texto “Confere com original, cópia extraída de documento original de acordo com o art 5º do Decreto nº 83.936/79”.","assinatura",1
"21. Como o verificador de assinatura da UFVJM confirma a validade de um documento assinado digitalmente?","O verificador permite ao usuário selecionar o documento (em PDF ou PDF/A) e, se a assinatura foi realizada com o certificado ICP-Edu, exibe uma mensagem positiva indicando que o documento foi assinado digitalmente.","assinatura",1
"22. Quais formatos de arquivo são aceitos pelo Verificador de Assinaturas da UFVJM?","São aceitos os formatos PDF e PDF/A.","assinatura",1
"23. O que significa a mensagem “Este documento foi assinado digitalmente” apresentada pelo verificador?","Significa que o documento possui uma assinatura digital válida, realizada com o certificado digital ICP-Edu, comprovando sua autenticidade.","assinatura",1
"24. Qual mensagem é exibida quando o documento não possui assinatura ou utiliza um certificado não reconhecido?","É apresentada uma mensagem de erro informando que o arquivo não possui uma assinatura válida ou que o certificado utilizado não é aceito.","assinatura",1
"25. Quais informações sobre o funcionamento do serviço estão presentes no Termo de Uso do Assinador?","O Termo de Uso detalha o funcionamento do serviço, as regras de utilização, o arcabouço legal, as responsabilidades do usuário e da administração pública, os canais de contato e o foro para eventuais reclamações.","assinatura",1
"26. Quais tópicos principais são abordados no Termo de Uso e na Política de Privacidade do Assina@UFVJM?","São abordados o funcionamento do serviço, as regras aplicáveis, as responsabilidades das partes, o tratamento dos dados pessoais, os direitos dos usuários e as medidas de segurança.","assinatura",1
"27. Como o documento define “dado pessoal” no contexto do serviço?","Dado pessoal é definido como informação relacionada a uma pessoa natural identificada ou identificável.","assinatura",1
"28. Quem é considerado o titular dos dados pessoais conforme as definições apresentadas?","O titular é a pessoa natural a quem se referem os dados pessoais objeto de tratamento.","assinatura",1
"29. Quem atua como controlador dos dados pessoais no serviço Assina@UFVJM?","A Universidade Federal dos Vales do Jequitinhonha e Mucuri atua como controlador dos dados pessoais.","assinatura",1
"30. Qual o papel do operador no tratamento dos dados pessoais do usuário?","O operador, representado pelos servidores da Divisão de Sistemas da Diretoria de Tecnologia da Informação, realiza o tratamento dos dados em nome do controlador.","assinatura",1
"31. Quem é o encarregado responsável por atuar como canal de comunicação entre o controlador, os titulares e a ANPD?","A encarregada é Carolina Santos Almeida, que serve como canal de comunicação entre o controlador, os titulares dos dados e a Autoridade Nacional de Proteção de Dados (ANPD).","assinatura",1
"32. Quais leis e normativos são citados no documento que regulam o uso do serviço Assina@UFVJM?","São citadas a Lei nº 12.965/2014 (Marco Civil da Internet), a Lei nº 12.527/2011 (Lei de Acesso à Informação), a Lei nº 13.709/2018 (Lei de Proteção de Dados Pessoais), o Decreto nº 10.278/2020, o Decreto nº 10.543/2020 e a Lei nº 14.063/2020.","assinatura",1
"33. Quais são os direitos do usuário em relação aos seus dados pessoais conforme estipulado no Termo de Uso?","O usuário tem direito à confirmação e acesso, retificação, limitação do tratamento, oposição, portabilidade dos dados e de não ser submetido a decisões automatizadas.","assinatura",1
"34. De que forma o usuário pode solicitar a retificação de dados pessoais incorretos ou desatualizados?","O usuário pode solicitar a correção de dados incompletos, inexatos ou desatualizados conforme o direito de retificação previsto no Termo de Uso.","assinatura",1
"35. O que significa o direito à limitação do tratamento dos dados e como ele pode ser exercido?","Significa que o usuário pode limitar o tratamento dos seus dados, exigindo a eliminação daqueles considerados desnecessários ou excessivos, conforme estabelecido no Termo de Uso.","assinatura",1
"36. Qual é a responsabilidade do usuário quanto à veracidade e precisão das informações fornecidas?","O usuário é responsável por fornecer dados precisos e verdadeiros, inconsistências podem impedir o uso do serviço e ocasionar responsabilidades por danos.","assinatura",1
"37. Quais obrigações o usuário assume ao utilizar o serviço Assina@UFVJM?","O usuário deve fornecer apenas seus dados pessoais, manter o sigilo de seu login e senha, atualizar suas informações e responder por eventuais danos causados por uso indevido.","assinatura",1
"38. Como o usuário deve proceder para manter o sigilo e a segurança do seu login e senha?","Deve utilizar suas credenciais de forma exclusiva, mantendo o sigilo e não compartilhando seu login e senha com terceiros.","assinatura",1
"39. Quais medidas a Administração Pública se compromete a adotar para proteger os dados pessoais dos usuários?","A Administração Pública se compromete a cumprir a legislação, implementar controles de segurança e adotar medidas técnicas e organizativas que protejam os dados pessoais dos usuários.","assinatura",1
"40. De que forma o serviço utiliza cookies e qual é a finalidade desses arquivos?","O serviço utiliza cookies para manter a sessão ativa do usuário e armazenar informações sobre a navegação, como dados do dispositivo e horário de acesso.","assinatura",1
"41. Que tipos de informações podem ser armazenadas nos cookies utilizados pelo Assina@UFVJM?","Os cookies podem armazenar informações sobre o dispositivo utilizado, local e horário de acesso, além de outras informações relacionadas à navegação, embora nem todos contenham dados pessoais.","assinatura",1
"42. Como são comunicadas aos usuários as alterações nos Termos de Uso e na Política de Privacidade?","As alterações são publicadas no site do serviço, passando a vigorar a partir da data de publicação, sendo recomendada a consulta periódica pelos usuários.","assinatura",1
"43. Qual é o foro escolhido para dirimir eventuais controvérsias relacionadas ao serviço?","O foro escolhido é o da comarca de Diamantina-MG.","assinatura",1
"44. Quais dados pessoais são coletados durante o uso do Assina@UFVJM?","São coletados o nome completo, CPF, endereço de e-mail e a foto do usuário.","assinatura",1
"45. De que maneira os dados pessoais dos usuários são tratados e para quais finalidades são utilizados?","Os dados são utilizados para identificar o usuário dentro do serviço, sendo armazenados e utilizados para acesso, validação e personalização da experiência.","assinatura",1
"46. O serviço Assina@UFVJM compartilha dados pessoais dos usuários com terceiros? Justifique.","Não, o serviço não compartilha dados pessoais com terceiros em nenhuma hipótese.","assinatura",1
"47. Quais soluções e medidas de segurança são empregadas para garantir a transmissão segura dos dados?","São adotadas medidas como a criptografia, que assegura a transmissão dos dados de forma segura e confidencial entre o servidor e o usuário.","assinatura",1
"48. Quais princípios da LGPD são destacados na Política de Privacidade do serviço?","São destacados os princípios de finalidade, adequação, necessidade, livre acesso, qualidade dos dados, transparência, segurança, prevenção, não discriminação e responsabilização.","assinatura",1
"49. Qual o objetivo do Termo de Uso do Verificador de Assinatura e a quem ele se destina?","O Termo de Uso do Verificador de Assinatura tem como objetivo confirmar a existência de assinaturas realizadas com certificados (ICP-Edu, ICP-Brasil ou GOV.br) e é destinado a qualquer usuário que necessite validar um documento digital assinado.","assinatura",1
"50. Quais padrões, como o formato PAdES, são utilizados pelo Verificador de Assinatura para validar documentos?","O Verificador de Assinatura utiliza o padrão PAdES (PDF), que é compatível com o formato PDF para a validação dos documentos digitais assinados.","assinatura",1
"1. O que é o Portal de Revistas Eletrônicas da UFVJM?","É uma plataforma que reúne as revistas eletrônicas da UFVJM utilizando o sistema Open Journal Systems.","revista",1
"2. Qual sistema é utilizado para reunir as revistas eletrônicas no portal?","O portal utiliza o sistema Open Journal Systems (OJS).","revista",1
"3. O que é o Open Journal Systems (OJS) e qual sua principal finalidade?","O OJS é um software livre de código aberto desenvolvido para a gestão de periódicos eletrônicos, facilitando o desenvolvimento de publicações de acesso aberto revisadas por pares.","revista",1
"4. Qual era o nome antigo do OJS?","Antigamente, o OJS era chamado de Sistema Eletrônico de Editoração de Revistas – SEER.","revista",1
"5. Quem desenvolveu o Open Journal Systems?","O OJS foi desenvolvido pela Public Knowledge Project (PKP).","revista",1
"6. Qual organização apoia o desenvolvimento do OJS?","O desenvolvimento do OJS é apoiado pelo Instituto Brasileiro de Informação em Ciência e Tecnologia (Ibict).","revista",1
"7. O que significa o OJS ser um software livre e de código aberto?","Significa que o OJS pode ser utilizado, estudado, modificado e distribuído gratuitamente, permitindo a personalização conforme as necessidades.","revista",1
"8. Para que tipo de publicações o OJS foi criado?","Foi criado para facilitar o desenvolvimento de publicações de acesso aberto revisadas por pares.","revista",1
"9. Como o OJS contribui para a gestão de periódicos eletrônicos?","Ele gerencia toda a submissão, o fluxo de trabalho editorial e a publicação de artigos e edições on-line.","revista",1
"10. Quais são os principais recursos oferecidos pela interface de leitor do OJS?","A interface de leitor é responsiva e disponibiliza uma seleção de temas ou designs gratuitos.","revista",1
"11. De que forma o OJS permite um fluxo de trabalho editorial flexível e configurável?","Ele oferece um fluxo de trabalho editorial que pode ser configurado conforme as necessidades do periódico.","revista",1
"12. Quais funcionalidades de envio on-line e gerenciamento de conteúdo o OJS disponibiliza?","Permite o envio on-line e o gerenciamento de todo o conteúdo do periódico.","revista",1
"13. Como funciona o módulo de assinatura no OJS e qual a opção de acesso que ele oferece?","O módulo de assinatura dispõe de opções de acesso aberto retardado para a gestão de assinaturas.","revista",1
"14. Quais serviços acadêmicos o OJS integra, como citado no documento?","O sistema se integra com serviços como Crossref, ORCID e DOAJ.","revista",1
"15. Por que o OJS é recomendado pelo Google Scholar?","Porque sua estrutura facilita a indexação e descoberta dos conteúdos publicados.","revista",1
"16. Onde o OJS é instalado e controlado, conforme o conteúdo?","O OJS é instalado e controlado localmente.","revista",1
"17. Qual é o papel da comunidade no suporte e desenvolvimento do OJS?","O OJS é liderado e apoiado pela comunidade, o que contribui para seu aprimoramento contínuo.","revista",1
"18. Em quantos idiomas o OJS está disponível, aproximadamente?","O OJS é multilíngue e está traduzido para mais de 30 idiomas.","revista",1
"19. Quais materiais de apoio (guias e vídeos) o OJS oferece para os usuários?","Ele oferece extensos guias do usuário e vídeos de treinamento.","revista",1
"20. Como o OJS automatiza as atividades de editoração de periódicos científicos?","O sistema automatiza atividades essenciais do processo editorial, otimizando a submissão, revisão e publicação dos artigos.","revista",1
"21. Qual a importância do OJS para a avaliação da qualidade dos periódicos, segundo o texto?","Permite melhorias na avaliação da qualidade dos periódicos e maior rapidez no fluxo de informações editoriais.","revista",1
"22. Por que a Capes recomenda o uso do OJS?","A Capes recomenda o OJS por seu desempenho e facilidade de adaptação aos processos de editoração.","revista",1
"23. De que forma o OJS contribui para a adaptação dos periódicos aos padrões editoriais internacionais?","O sistema permite que os periódicos adotem padrões editoriais internacionais para publicações on-line 100% eletrônicas.","revista",1
"24. Como o OJS facilita a disseminação, divulgação e preservação dos conteúdos das revistas?","Ao automatizar o fluxo editorial e oferecer acesso aberto, o OJS facilita a disseminação e preservação dos conteúdos.","revista",1
"25. Qual é o procedimento para solicitar a criação de uma nova revista no portal?","O editor responsável deve abrir um chamado via GLPI para a Divisão de Sistemas Institucionais (DSI).","revista",1
"26. Qual ferramenta é utilizada para abrir um chamado para a solicitação de criação de revista?","É utilizada a ferramenta GLPI.","revista",1
"27. Qual site deve ser acessado para iniciar a solicitação via GLPI?","Deve-se acessar o site https://glpi.ufvjm.edu.br/.","revista",1
"28. Qual formulário deve ser selecionado para solicitar suporte relacionado à tecnologia da informação?","Deve ser selecionado o formulário 'STI - Suporte a Sistemas'.","revista",1
"29. Quais normas precisam ser aceitas durante o processo de solicitação?","O solicitante deve aceitar as normas apresentadas no processo de abertura de chamado via GLPI.","revista",1
"30. Quais informações devem ser preenchidas no grupo de questões 'Dados do Solicitante'?","Devem ser preenchidas as informações pessoais e de contato do solicitante.","revista",1
"31. Como o solicitante deve indicar que sua demanda está relacionada a Revistas Eletrônicas?","Ao selecionar a opção 'Revistas Eletrônicas' na questão 'Selecione o sistema relacionado a sua solicitação'.","revista",1
"32. Qual opção deve ser selecionada na questão 'Selecione o sistema relacionado à sua solicitação'?","Deve ser selecionada a opção 'Revistas Eletrônicas'.","revista",1
"33. O que acontece ao selecionar 'Revistas Eletrônicas' no formulário de solicitação?","Abre-se o campo 'Tipo de demanda', permitindo que o solicitante selecione a demanda desejada.","revista",1
"34. Quais informações sobre a revista devem ser descritas na demanda?","Devem ser informados: nome da revista, descrição curta, breve descrição, logotipo, capa, nome e contato do editor, equipe editorial, endereço postal, contato técnico e dados da edição inicial.","revista",1
"35. Quais são as especificações do logotipo da revista (dimensões) exigidas na solicitação?","O logotipo deve ter 80px de altura e, no máximo, 350px de largura.","revista",1
"36. Quais são as dimensões recomendadas para a capa da revista?","A capa deve ter 640px de altura e 890px de largura.","revista",1
"37. Quais dados sobre a equipe editorial devem ser informados durante a solicitação?","Deve ser informada a composição da equipe editorial.","revista",1
"38. Que informações devem ser fornecidas sobre o editor responsável pela revista?","Deve ser informado o nome do editor e o seu contato.","revista",1
"39. Que tipo de endereço deve ser informado (por exemplo, para correspondência) na solicitação?","Deve ser informado o endereço postal para correspondência com o editor chefe ou equipe editorial.","revista",1
"40. Quem deve ser designado como contato técnico na solicitação de criação da revista?","Inicialmente, o contato técnico indicado deve ser o próprio editor.","revista",1
"41. Quais informações referentes à edição inicial da revista devem ser cadastradas?","Devem ser informados o número da edição que iniciará (recomendado como nome '#1') e a imagem de capa da edição.","revista",1
"42. Qual é a recomendação para a numeração ou nome da edição inicial da revista?","É recomendado que a edição inicial seja nomeada como '#1'.","revista",1
"43. Que tipo de imagem deve ser fornecida como capa da edição da revista?","Deve ser fornecida uma imagem de capa da edição, conforme especificado na demanda.","revista",1
"44. Que documento deve ser anexado para comprovar a aprovação ou validação da criação da revista?","Deve ser anexado um documento com o registro da aprovação da criação da revista ou com a validação conforme a Resolução Nº17, de 22 de agosto de 2022.","revista",1
"45. Qual é a importância do documento com registro da aprovação da criação ou validação conforme a Resolução Nº17, de 22 de agosto de 2022?","Esse documento comprova a aprovação ou validação oficial necessária para a criação da nova revista.","revista",1
"46. Qual material de apoio foi lançado pelo Ibict em 2018 relacionado ao OJS?","Em 2018, o Ibict lançou o 'Guia do Usuário do OJS 3'.","revista",1
"47. Como o 'Guia do Usuário do OJS 3' pode beneficiar a comunidade de editores?","Ele está disponível gratuitamente e auxilia a comunidade na utilização do OJS para a gestão de periódicos.","revista",1
"48. Quais capítulos do guia são recomendados para administradores de portal, informáticos e tecnologistas?","Os capítulos 3 e 9 são recomendados para esses profissionais.","revista",1
"49. O que é o guia 'Aprendendo OJS 3.3' e qual a sua relevância?","É a versão portuguesa do 'Guia On-line' da PKP, apresentando as principais funcionalidades do OJS e auxiliando no seu uso.","revista",1
"50. Como a parceria entre o Ibict e a Lepidus Tecnologia contribuiu para o desenvolvimento e a adaptação do OJS para a comunidade brasileira?","A parceria possibilitou a adaptação do OJS para a comunidade brasileira, facilitando o acesso à versão portuguesa e melhorando a utilização do sistema.","revista",1
"Qual é o maior planeta do sistema solar?","Júpiter","outros",0
"Quem escreveu 'Dom Quixote'?","Miguel de Cervantes","outros",0
"Qual é a capital da Austrália?","Camberra","outros",0
"Quantos ossos tem o corpo humano adulto?",206,"outros",0
"Quem pintou a Mona Lisa?","Leonardo da Vinci","outros",0
"Qual é o elemento químico de símbolo 'O'?","Oxigênio","outros",0
"Em que ano ocorreu a independência do Brasil?",1822,"outros",0
"Quem foi o primeiro presidente do Brasil?","Deodoro da Fonseca","outros",0
"Qual é o rio mais longo do mundo?","Rio Amazonas","outros",0
"Quantos lados tem um hexágono?","Seis","outros",0
"Quem descobriu a penicilina?","Alexander Fleming","outros",0
"Qual é o maior deserto do mundo?","Deserto da Antártica","outros",0
"Quantos minutos tem uma hora?","60 minutos","outros",0
"Quem escreveu 'Romeu e Julieta'?","William Shakespeare","outros",0
"Qual é a moeda oficial do Japão?","Iene","outros",0
"Quem inventou a lâmpada elétrica?","Thomas Edison","outros",0
"Em que continente fica o Egito?","África","outros",0
"Qual é o animal mais rápido do mundo?","Guepardo","outros",0
"Quem pintou o teto da Capela Sistina?","Michelangelo","outros",0
"Qual é o menor país do mundo?","Vaticano","outros",0
"Quem formulou a teoria da relatividade?","Albert Einstein","outros",0
"Qual é o maior oceano do mundo?","Oceano Pacífico","outros",0
"Quem foi o primeiro homem a pisar na Lua?","Neil Armstrong","outros",0
"Quantos anéis tem a bandeira olímpica?","Cinco","outros",0
"O que é o Everest?","A montanha mais alta do mundo","outros",0
"Qual é o metal líquido em temperatura ambiente?","Mercúrio","outros",0
"Quem foi o autor de 'O Pequeno Príncipe'?","Antoine de Saint-Exupéry","outros",0
"O que significa a sigla ONU?","Organização das Nações Unidas","outros",0
"Qual é o segundo planeta do sistema solar?","Vênus","outros",0
"Quem fundou a Microsoft?","Bill Gates e Paul Allen","outros",0
"Quantos dias tem um ano bissexto?",366,"outros",0
"Quem é conhecido como o pai da psicanálise?","Sigmund Freud","outros",0
"Qual é o maior mamífero do mundo?","Baleia-azul","outros",0
"Quem foi o primeiro imperador do Brasil?","Dom Pedro I","outros",0
"Qual é a cor do rubi?","Vermelho","outros",0
"Quem escreveu 'O Senhor dos Anéis'?","J.R.R. Tolkien","outros",0
"Quantos continentes existem?","Sete","outros",0
"O que é um prisma?","Um sólido geométrico","outros",0
"Qual é a capital da França?","Paris","outros",0
"Quem foi Mahatma Gandhi?","Líder pacifista da independência da Índia","outros",0
"Quantos estados tem o Brasil?","26 e o Distrito Federal","outros",0
"Quem pintou 'O Grito'?","Edvard Munch","outros",0
"Qual é a fórmula química da água?","H2O","outros",0
"O que é um substantivo?","Uma classe gramatical que nomeia seres","outros",0
"Quem foi Cleópatra?","Rainha do Egito Antigo","outros",0
"O que é um haicai?","Um poema curto de origem japonesa","outros",0
"Qual é a capital do Canadá?","Ottawa","outros",0
"Quem foi o primeiro-ministro britânico durante a Segunda Guerra Mundial?","Winston Churchill","outros",0
"O que é um palíndromo?","Uma palavra ou frase que se lê igual de trás para frente","outros",0
"Quantos centímetros tem um metro?",100,"outros",0
"Quem escreveu 'Cem Anos de Solidão'?","Gabriel García Márquez","outros",0
"O que é fotossíntese?","O processo pelo qual as plantas produzem energia","outros",0
"Qual é o símbolo químico do ouro?","Au","outros",0
"Quantos jogadores tem um time de futebol?",11,"outros",0
"Quem foi Charles Darwin?","Cientista da teoria da evolução","outros",0
"O que é um eclipse solar?","Quando a Lua bloqueia a luz do Sol","outros",0
"Qual é a capital da Itália?","Roma","outros",0
"Quem foi Napoleão Bonaparte?","Imperador francês","outros",0
"O que significa a sigla FIFA?","Federação Internacional de Futebol","outros",0
"Quem pintou 'A Última Ceia'?","Leonardo da Vinci","outros",0
"Qual é a capital da Rússia?","Moscou","outros",0
"Quem foi Albert Einstein?","Físico e autor da teoria da relatividade","outros",0
"O que significa a sigla DNA?","Ácido desoxirribonucleico","outros",0
"Quem foi Isaac Newton?","Cientista que formulou a lei da gravidade","outros",0
"Quantos corações tem um polvo?","Três","outros",0
"O que é um diamante?","Uma forma cristalina do carbono","outros",0
"Quem é o autor de 'O Código Da Vinci'?","Dan Brown","outros",0
"Qual é a capital da Argentina?","Buenos Aires","outros",0
